symbol	family	source_file	line	firestaff_mapping	status
DM2_ALLOCATION7	SKULLWIN	SKULLWIN/c_dballoc.cpp	817		MISSING
DM2_DEALLOC_BIGPOOL_STRUCT_BEFORE	SKULLWIN	SKULLWIN/c_dballoc.cpp	907		MISSING
DM2_GUARANTEE_FREE_CPXHEAP_SIZE	SKULLWIN	SKULLWIN/c_dballoc.cpp	916		MISSING
DM2_INIT_GFX_TABLE	SKULLWIN	SKULLWIN/c_dballoc.cpp	927		MISSING
DM2_ALLOC_CPXHEAP_CREATE_POINTER	SKULLWIN	SKULLWIN/c_dballoc.cpp	965		MISSING
DM2_ALLOC_CPXHEAP_CREATE_INDEX	SKULLWIN	SKULLWIN/c_dballoc.cpp	994		MISSING
DM2_ALLOC_CPXHEAP_MEM	SKULLWIN	SKULLWIN/c_dballoc.cpp	1009		MISSING
DM2_ALLOCATION9	SKULLWIN	SKULLWIN/c_dballoc.cpp	1023		MISSING
DM2_ALLOCATION10	SKULLWIN	SKULLWIN/c_dballoc.cpp	1032		MISSING
DM2_ALLOCATION11	SKULLWIN	SKULLWIN/c_dballoc.cpp	1055		MISSING
DM2_dballoc_2636_03d4	SKULLWIN	SKULLWIN/c_dballoc.cpp	1074		MISSING
DM2_dballoc_3e74_55f9	SKULLWIN	SKULLWIN/c_dballoc.cpp	1086		MISSING
DM2_GET_BMP	SKULLWIN	SKULLWIN/c_dballoc.cpp	1106		MISSING
DM2_ALLOCATE_GFX256	SKULLWIN	SKULLWIN/c_dballoc.cpp	1112		MISSING
DM2_dballoc_3e74_2439	SKULLWIN	SKULLWIN/c_dballoc.cpp	1119		MISSING
DM2_ALLOC_GENERATE_ID	SKULLWIN	SKULLWIN/c_dballoc.cpp	1133		MISSING
DM2_dballoc_3e74_5888	SKULLWIN	SKULLWIN/c_dballoc.cpp	1145		MISSING
